Admin1 name,Admin1 pcode,Admin2 name,Admin2 pcode,Host Community_PiN,IDPs_PiN,Non-displaced Population_PiN,Refugees_PiN,Host Community_Targeted,IDPsHost Community_Targeted,Non-displaced PopulationHost Community_Targeted,RefugeesHost Community_Targeted
South Kordofan,SD07,Ar Reif Ash Shargi,SD07097," 21,147 "," 21,147 "," 9,860 ", -   ," 10,574 "," 10,574 "," 9,027 ", -   
South Kordofan,SD07,Kadugli,SD07098," 75,038 "," 72,742 "," 23,298 "," 2,296 "," 37,519 "," 43,645 "," 13,819 "," 2,296 "
South Kordofan,SD07,Al Buram,SD07099, -   , -   ," 95,861 ", -   , -   , -   ," 32,137 ", -   
South Kordofan,SD07,Habila - SK,SD07103," 7,526 "," 7,213 "," 27,613 ", 313 ," 7,526 "," 7,213 "," 16,792 ", 313 
South Kordofan,SD07,Abu Kershola,SD07104," 21,442 "," 21,442 "," 30,504 ", -   ," 9,129 "," 11,203 "," 15,078 ", -   
South Kordofan,SD07,Al Leri,SD07105," 7,896 "," 5,651 "," 16,154 "," 2,245 "," 4,371 "," 3,518 "," 11,305 "," 2,245 "
South Kordofan,SD07,At Tadamon - SK,SD07106," 3,023 "," 1,994 "," 39,786 "," 1,029 "," 2,526 "," 1,994 "," 19,502 "," 1,029 "
South Kordofan,SD07,Delami,SD07107," 4,066 "," 4,066 "," 17,283 ", -   ," 4,066 "," 4,066 "," 12,276 ", -   
South Kordofan,SD07,Ghadeer,SD07108," 29,500 "," 15,554 ", -   ," 13,941 "," 12,417 "," 12,443 ", -   ," 13,941 "
Blue Nile,SD08,Baw,SD08104," 41,256 "," 41,256 "," 16,940 ", -   ," 20,628 "," 20,628 "," 9,824 ", -   
Blue Nile,SD08,Ed Damazine,SD08105," 49,843 "," 49,284 "," 24,257 ", 559 ," 24,922 "," 31,628 "," 16,250 ", 559 
Blue Nile,SD08,Al Kurmuk,SD08106," 19,116 "," 19,116 "," 42,112 ", -   ," 19,116 "," 19,116 "," 25,526 ", -   
Blue Nile,SD08,Ar Rusayris,SD08107," 32,756 "," 32,755 "," 38,165 ", 1 ," 16,378 "," 27,862 "," 21,645 ", 1 
Blue Nile,SD08,At Tadamon - BN,SD08108," 16,752 "," 16,752 "," 17,486 ", -   ," 9,226 "," 16,752 "," 9,630 ", -   
Blue Nile,SD08,Geisan,SD08109," 29,421 "," 29,421 "," 10,901 ", -   ," 12,287 "," 28,150 "," 7,127 ", -   
Blue Nile,SD08,Wad Al Mahi,SD08110," 20,340 "," 7,801 "," 14,358 "," 12,539 "," 20,340 "," 7,801 "," 12,698 "," 12,539 "
White Nile,SD09,Ad Diwaim,SD09044," 70,236 "," 70,232 "," 41,286 ", -   ," 35,118 "," 49,332 "," 25,628 ", -   
White Nile,SD09,Um Rimta,SD09045," 20,067 "," 20,065 "," 26,805 ", -   ," 20,067 "," 20,065 "," 14,923 ", -   
White Nile,SD09,Rabak,SD09046," 80,080 "," 21,720 "," 19,923 ", -   ," 10,143 "," 11,349 "," 11,364 ", -   
White Nile,SD09,Kosti,SD09047," 21,256 "," 21,256 "," 45,735 "," 58,373 "," 10,628 "," 11,106 "," 36,499 "," 58,373 "
White Nile,SD09,Tendalti,SD09048," 19,986 "," 19,986 "," 47,350 ", -   ," 8,498 "," 10,197 "," 23,177 ", -   
White Nile,SD09,As Salam / Ar Rawat,SD09049," 50,397 "," 50,395 "," 66,149 "," 218,834 "," 25,199 "," 25,198 "," 18,546 "," 218,834 "
White Nile,SD09,Al Gitaina,SD09050," 168,576 "," 29,922 ", -   , -   ," 8,688 "," 2,992 ", -   , -   
White Nile,SD09,Aj Jabalain,SD09051," 93,002 "," 92,993 "," 17,922 "," 138,328 "," 46,501 "," 48,589 "," 17,922 "," 138,328 "
White Nile,SD09,Guli,SD09052," 223,917 "," 4,085 ", -   , -   ," 71,464 "," 1,634 ", -   , -   
Red Sea,SD10,Dordieb,SD10063, 325 , 325 ," 22,567 ", -   , 148 , 130 ," 10,543 ", -   
Red Sea,SD10,Port Sudan,SD10064," 135,706 "," 114,235 ", -   ," 21,324 "," 67,853 "," 59,688 ", -   ," 21,324 "
Red Sea,SD10,Tawkar,SD10065," 2,382 "," 2,350 "," 60,004 ", 32 ," 2,382 "," 1,499 "," 29,487 ", 32 
Red Sea,SD10,Hala'ib,SD10066, -   , -   ," 16,046 ", -   , -   , -   ," 7,221 ", -   
Red Sea,SD10,Jubayt Elma'aadin,SD10067, 100 , 100 ," 33,092 ", -   , 100 , 100 ," 11,948 ", -   
Red Sea,SD10,Sawakin,SD10068," 2,795 "," 1,790 "," 11,368 "," 1,005 ", 847 , 716 ," 3,447 "," 1,005 "
Red Sea,SD10,Al Ganab,SD10069, -   , -   ," 48,202 ", -   , -   , -   ," 23,732 ", -   
Red Sea,SD10,Haya,SD10070," 2,075 "," 2,075 "," 143,305 ", -   ," 2,075 "," 2,075 "," 65,533 ", -   
Red Sea,SD10,Sinkat,SD10071," 2,755 "," 2,687 "," 43,833 ", 68 ," 1,289 "," 1,075 "," 21,943 ", 68 
Red Sea,SD10,Agig,SD10072, -   , -   ," 39,523 ", -   , -   , -   ," 17,282 ", -   
Kassala,SD11,Halfa Aj Jadeedah,SD11052," 33,448 "," 32,370 "," 74,538 "," 1,078 "," 33,448 "," 32,370 "," 48,245 "," 1,078 "
Kassala,SD11,Madeinat Kassala,SD11053," 45,576 "," 39,365 "," 81,218 "," 6,211 "," 35,778 "," 22,596 "," 69,974 "," 6,211 "
Kassala,SD11,Reifi Gharb Kassala,SD11054, -   , -   ," 106,798 ", -   , -   , -   ," 49,947 ", -   
Kassala,SD11,Reifi Aroma,SD11055, 690 , 690 ," 80,526 ", -   , 690 , 690 ," 36,545 ", -   
Kassala,SD11,Reifi Kassla,SD11056," 28,823 "," 2,545 "," 34,721 "," 26,246 "," 15,241 "," 2,545 "," 22,441 "," 26,246 "
Kassala,SD11,Reifi Shamal Ad Delta,SD11057," 3,415 "," 3,415 "," 73,313 ", -   ," 3,415 "," 3,415 "," 36,290 ", -   
Kassala,SD11,Reifi Hamashkureib,SD11058, -   , -   ," 217,712 ", -   , -   , -   ," 99,746 ", -   
Kassala,SD11,Reifi Telkok,SD11059," 1,855 "," 1,855 "," 181,667 ", -   ," 1,855 "," 1,855 "," 97,665 ", -   
Kassala,SD11,Reifi Khashm Elgirba,SD11060," 18,506 "," 7,729 "," 42,462 "," 10,777 "," 9,182 "," 5,286 "," 27,363 "," 10,777 "
Kassala,SD11,Reifi Wad Elhilaiw,SD11061," 73,508 ", -   , -   ," 77,452 "," 36,754 ", -   , -   ," 77,452 "
Kassala,SD11,Reifi Nahr Atbara,SD11062," 2,391 "," 2,391 "," 116,041 ", -   ," 2,391 "," 2,391 "," 53,716 ", -   
Gedaref,SD12,Al Butanah,SD12073," 2,966 "," 2,966 "," 48,143 ", -   ," 2,966 "," 2,966 "," 29,193 ", -   
Gedaref,SD12,Al Fao,SD12074," 11,957 "," 11,951 "," 55,340 ", 6 ," 11,957 "," 11,951 "," 27,467 ", 6 
Gedaref,SD12,Al Fashaga,SD12075," 14,593 "," 13,130 "," 18,199 "," 1,463 "," 7,297 "," 6,753 "," 11,305 "," 1,463 "
Gedaref,SD12,Al Qureisha,SD12076," 18,745 "," 18,745 "," 28,017 ", -   ," 8,040 "," 9,649 "," 16,675 ", -   
Gedaref,SD12,Basundah,SD12077," 30,676 "," 27,530 "," 7,217 "," 3,146 "," 30,676 "," 27,530 "," 7,217 "," 3,146 "
Gedaref,SD12,Al Galabat Al Gharbyah - Kassab,SD12078," 8,355 "," 8,355 "," 48,762 ", -   ," 8,355 "," 8,355 "," 24,608 ", -   
Gedaref,SD12,Gala'a Al Nahal,SD12079," 12,202 "," 12,202 "," 33,942 ", -   ," 10,917 "," 7,296 "," 15,242 ", -   
Gedaref,SD12,Madeinat Al Gedaref,SD12080," 72,357 "," 72,355 "," 49,588 ", 2 ," 36,179 "," 37,805 "," 19,225 ", 2 
Gedaref,SD12,Wasat Al Gedaref,SD12081," 37,374 "," 18,325 "," 21,724 "," 19,049 "," 37,374 "," 18,325 "," 14,606 "," 19,049 "
Gedaref,SD12,Al Mafaza,SD12082," 41,607 "," 17,800 "," 4,046 "," 23,807 "," 22,959 "," 14,439 "," 4,046 "," 23,807 "
Gedaref,SD12,Galabat Ash-Shargiah,SD12083," 45,673 "," 27,925 "," 21,610 "," 17,673 "," 45,673 "," 27,925 "," 21,610 "," 17,673 "
Gedaref,SD12,Ar Rahad,SD12084," 36,565 "," 36,565 "," 40,985 ", -   ," 36,565 "," 36,565 "," 26,989 ", -   
North Kordofan,SD13,Um Rawaba,SD13023," 32,604 "," 31,628 "," 70,902 ", 976 ," 13,331 "," 15,814 "," 34,141 ", 976 
North Kordofan,SD13,Sheikan,SD13024," 30,729 "," 21,299 "," 190,220 "," 9,414 "," 15,365 "," 11,715 "," 40,405 "," 9,414 "
North Kordofan,SD13,Soudari,SD13025," 3,630 "," 3,630 "," 135,625 ", -   , 583 , 363 ," 22,909 ", -   
North Kordofan,SD13,Bara,SD13026," 7,868 "," 7,868 "," 71,949 ", -   ," 3,757 "," 4,327 "," 13,796 ", -   
North Kordofan,SD13,Gebrat Al Sheikh,SD13027," 3,518 "," 3,518 "," 94,776 ", -   ," 3,518 "," 1,935 "," 17,619 ", -   
North Kordofan,SD13,Um Dam Haj Ahmed,SD13028," 7,955 "," 7,955 "," 39,227 ", -   ," 7,955 "," 7,955 "," 11,581 ", -   
North Kordofan,SD13,Gharb Bara,SD13029," 5,613 "," 5,613 "," 56,581 ", -   ," 5,613 "," 5,613 "," 13,707 ", -   
North Kordofan,SD13,Ar Rahad,SD13030," 31,788 "," 30,589 "," 16,861 "," 1,199 "," 21,442 "," 15,983 "," 11,998 "," 1,199 "
Sennar,SD14,Abu Hujar,SD14037," 53,196 "," 53,196 "," 27,536 ", -   ," 22,148 "," 27,795 "," 13,437 ", -   
Sennar,SD14,Sennar,SD14038," 50,802 "," 50,774 "," 50,087 ", 28 ," 15,757 "," 26,529 "," 44,345 ", 28 
Sennar,SD14,Ad Dali,SD14039," 35,929 "," 35,929 "," 20,394 ", -   ," 20,470 "," 24,564 "," 16,079 ", -   
Sennar,SD14,Ad Dinder,SD14040," 66,773 "," 56,966 "," 32,656 "," 9,808 "," 28,067 "," 29,765 "," 15,865 "," 9,808 "
Sennar,SD14,As Suki,SD14041," 62,584 "," 62,584 "," 17,266 ", -   ," 24,863 "," 32,700 "," 6,859 ", -   
Sennar,SD14,Sharg Sennar,SD14042," 37,050 "," 37,050 "," 98,593 ", -   ," 18,525 "," 19,359 "," 50,289 ", -   
Sennar,SD14,Sinja,SD14043," 49,892 "," 49,883 "," 24,425 ", 9 ," 24,946 "," 24,942 "," 12,213 ", 9 
Aj Jazirah,SD15,Medani Al Kubra,SD15030," 57,832 "," 57,694 "," 39,378 ", 138 ," 40,545 "," 40,105 "," 34,372 ", 138 
Aj Jazirah,SD15,Janub Aj Jazirah,SD15031," 22,104 "," 21,966 "," 114,595 ", 138 ," 19,424 "," 10,983 "," 12,216 ", 138 
Aj Jazirah,SD15,Um Algura,SD15032," 43,043 "," 43,029 "," 48,763 ", 14 ," 17,372 "," 20,840 "," 37,501 ", 14 
Aj Jazirah,SD15,Sharg Aj Jazirah,SD15033," 14,376 "," 14,210 "," 118,211 ", 166 ," 1,821 "," 5,684 "," 29,478 ", 166 
Aj Jazirah,SD15,Al Hasahisa,SD15034," 41,234 "," 21,980 "," 187,257 "," 19,234 "," 41,234 "," 21,980 "," 69,662 "," 19,234 "
Aj Jazirah,SD15,Al Kamlin,SD15035," 72,373 "," 72,235 "," 146,738 ", 138 ," 36,187 "," 37,743 "," 73,117 ", 138 
Aj Jazirah,SD15,Al Manaqil,SD15036," 29,708 "," 29,680 "," 163,346 ", 28 ," 14,854 "," 15,023 "," 102,883 ", 28 
Aj Jazirah,SD15,Al Qurashi,SD15037," 9,110 "," 9,110 "," 73,912 ", -   ," 9,110 "," 9,110 "," 67,939 ", -   
River Nile,SD16,Abu Hamad,SD16008," 28,100 "," 28,100 ", -   , -   ," 19,417 "," 25,648 ", -   , -   
River Nile,SD16,Al Matama,SD16009," 95,866 "," 95,866 ", -   , -   ," 29,734 "," 50,090 ", -   , -   
River Nile,SD16,Shendi,SD16010," 101,130 "," 100,000 ", -   ," 1,130 "," 50,565 "," 52,250 ", -   ," 1,130 "
River Nile,SD16,Ad Damar,SD16011," 109,903 "," 109,903 ", -   , -   ," 34,088 "," 57,424 ", -   , -   
River Nile,SD16,Atbara,SD16012," 103,621 "," 102,115 ", -   ," 1,506 "," 51,811 "," 53,355 ", -   ," 1,506 "
River Nile,SD16,Barbar,SD16013," 49,736 "," 48,606 ", -   ," 1,130 "," 17,241 "," 38,373 ", -   ," 1,130 "
River Nile,SD16,Al Buhaira,SD16014," 31,152 "," 31,152 ", -   , -   ," 15,576 "," 15,576 ", -   , -   
Northern,SD17,Halfa,SD17014," 22,635 "," 52,205 "," 2,312 ", -   ," 11,318 "," 27,277 "," 2,312 ", -   
Northern,SD17,Delgo,SD17015," 44,760 "," 44,760 ", -   , -   ," 21,945 "," 23,387 ", -   , -   
Northern,SD17,Al Burgaig,SD17016," 44,302 "," 44,302 ", -   , -   ," 7,990 "," 7,014 ", -   , -   
Northern,SD17,Dongola,SD17017," 50,932 "," 50,051 "," 3,740 ", 844 ," 25,466 "," 26,152 "," 3,740 ", 844 
Northern,SD17,Al Golid,SD17018," 40,310 "," 40,310 ", -   , -   ," 5,799 "," 6,958 ", -   , -   
Northern,SD17,Ad Dabbah,SD17019," 69,820 "," 69,600 "," 17,845 ", 220 ," 21,655 "," 36,366 "," 17,296 ", 220 
Northern,SD17,Merwoe,SD17020," 67,487 "," 67,443 "," 12,578 ", 44 ," 20,932 "," 35,239 "," 7,781 ", 44 
West Kordofan,SD18,Ghubaish,SD18021," 20,041 "," 12,124 "," 42,140 "," 7,917 "," 20,041 "," 12,124 "," 18,294 "," 7,917 "
